1967,12.28,80.34,77.95,87.07,1967.00,9.86,95.68,60.90,24.91,17.64,7.78,0.15,7.02,1.37,1.32,7.22,5.54,10.47,10.57,8.03,7.83,1.42,22.11,4.27,3.36,1.53,1.07,1.32,5.80,4.63,1.07,0.10,0.25,0.31,14.74,1.12,0.05,2.03,0.20,17.39,5.44,2.29,1.88,4.12,0.97,4.17,1.98,0.56,0.66,0.66,0.92,0.31,0.51,0.05,0.05,5.90,0.92,1.47,1.63,2.80,0.20,2.90,17.23,1.88,11.49,2.14,4.73,4.98,2.90,0.51,0.56,0.25,0.10,0.05,4.22,0.00,1.07,0.41,2.39,0.00,6.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.51
987,9.20,32.79,82.24,88.95,987.00,14.29,96.66,59.07,21.88,13.98,9.83,0.71,0.61,1.32,1.52,7.90,4.15,11.04,10.44,10.54,8.41,3.04,19.05,5.17,3.04,2.53,0.51,2.13,6.28,4.86,1.11,0.00,0.51,0.20,11.75,0.91,1.01,1.62,0.71,15.30,2.23,1.93,1.42,4.86,1.32,4.66,3.44,0.71,2.03,0.61,1.01,0.30,0.51,0.00,0.10,6.69,2.94,1.32,1.11,1.32,0.30,4.05,13.78,0.91,12.56,2.53,4.66,5.47,1.93,1.32,0.51,0.30,0.00,0.00,6.89,0.00,0.61,3.14,3.24,0.00,8.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.48,0.00,2.33
3330,10.83,30.37,90.05,58.15,3330.00,9.97,95.35,59.79,24.20,16.49,11.14,0.33,3.90,0.45,0.66,7.72,4.56,10.30,10.30,8.05,7.63,2.49,20.69,2.85,1.89,1.65,0.75,2.43,4.56,3.09,1.38,0.21,0.48,0.33,9.16,0.45,0.36,0.39,0.57,16.97,5.11,1.14,1.50,5.71,0.99,4.83,1.89,0.72,0.81,0.21,1.26,0.21,0.78,0.03,0.15,5.14,1.20,1.11,1.05,1.44,0.48,3.45,15.50,1.17,9.58,1.44,4.32,3.99,1.59,0.42,0.15,0.42,0.00,0.00,8.95,0.06,0.69,0.27,7.81,0.00,5.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.50,0.00,0.48
1139,11.02,15.42,91.50,82.39,1139.00,12.03,95.17,55.49,21.69,14.22,10.36,0.26,2.19,0.61,0.79,7.46,3.69,9.83,10.89,7.73,6.58,4.30,20.19,3.95,1.49,1.76,2.28,1.67,7.55,5.36,2.19,0.00,0.88,1.14,8.17,0.35,1.14,0.79,0.35,16.68,4.04,1.32,1.32,4.92,1.84,5.71,3.95,0.26,3.25,0.44,2.55,1.76,0.53,0.00,0.26,5.09,1.67,1.05,1.76,1.23,0.26,4.13,14.84,0.61,11.06,1.58,5.62,3.95,0.97,0.70,0.09,0.18,0.09,0.00,9.04,0.44,1.58,1.76,6.15,0.00,16.42,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,6.50,0.00,9.75
1213,8.02,23.41,90.92,93.74,1213.00,13.11,95.30,59.36,22.34,13.69,8.99,0.00,3.38,0.91,0.41,8.66,4.29,9.81,11.62,8.82,7.83,3.63,19.29,4.86,3.46,1.98,1.48,2.39,7.01,5.52,1.15,0.33,0.16,0.33,8.16,0.91,0.08,0.25,1.07,16.16,2.89,1.57,1.07,5.11,1.40,6.18,1.40,0.91,0.08,0.41,0.58,0.16,0.33,0.00,0.08,6.76,1.32,1.15,1.73,2.39,0.66,3.46,15.09,0.99,12.94,1.65,6.02,5.52,5.19,1.65,0.00,0.25,0.00,0.00,4.37,0.00,0.33,1.65,2.31,0.08,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,5.77,0.00,2.47
752,41.06,26.60,75.46,95.93,752.00,12.77,96.01,53.19,18.22,10.90,8.38,0.40,1.33,0.40,0.40,7.31,4.12,14.10,8.24,6.91,6.25,2.26,17.82,6.12,4.39,1.73,0.53,3.46,8.91,6.78,1.99,0.27,1.20,0.13,7.71,0.00,0.27,0.13,0.53,17.29,3.06,0.93,1.46,7.58,1.73,4.79,3.32,1.20,1.06,0.80,2.39,0.66,1.73,0.00,0.00,5.32,1.20,1.06,0.80,2.53,0.40,3.99,11.97,0.66,10.77,1.06,5.05,4.79,1.46,0.66,0.00,1.06,0.00,0.00,9.31,0.27,1.20,1.06,7.98,0.00,5.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.12,0.00,1.86
1371,24.09,31.00,79.94,76.90,1371.00,10.65,95.33,55.43,21.08,14.66,10.65,0.88,1.46,1.53,0.15,6.42,7.00,8.68,9.63,5.91,7.73,1.68,18.75,5.62,2.84,0.88,0.44,2.04,7.37,4.96,2.19,0.51,0.66,0.73,8.24,0.36,0.66,1.60,0.80,13.13,3.65,1.09,1.17,3.06,1.75,3.21,1.82,0.58,0.58,0.58,1.09,0.22,0.88,0.00,0.00,6.86,1.90,1.31,1.53,2.48,0.22,3.36,14.00,0.51,11.23,1.75,5.84,3.72,1.82,1.39,0.15,0.22,0.00,0.00,9.04,0.00,0.51,1.46,7.15,0.00,8.10,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,5.18,0.00,2.84
635,33.12,17.23,85.11,99.00,635.00,12.60,93.23,53.07,18.11,12.76,10.71,0.00,0.63,0.94,0.47,5.35,5.83,10.24,8.82,6.93,5.83,2.99,17.95,6.30,2.83,1.10,1.10,2.36,10.08,8.19,1.89,0.16,0.16,1.26,8.03,0.94,0.31,1.26,0.63,10.71,2.05,0.31,0.47,2.99,1.26,4.41,2.20,0.63,0.94,0.63,1.57,0.63,0.79,0.00,0.00,4.57,1.10,1.10,0.94,1.57,0.00,5.35,10.24,0.31,11.50,2.05,4.72,5.04,2.20,2.20,0.16,0.31,0.00,0.00,8.82,0.00,2.68,2.20,6.30,0.00,9.13,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,3.31,0.00,5.67
640,42.99,21.73,84.27,79.79,640.00,13.59,95.31,44.38,14.53,9.84,9.06,0.31,0.47,0.00,0.00,4.38,5.31,8.91,8.12,7.34,5.16,2.03,17.03,6.09,3.75,0.78,0.62,3.75,6.41,4.69,1.72,0.62,0.16,0.78,4.84,0.47,0.31,0.00,0.00,12.81,1.88,1.72,0.47,6.41,0.94,2.34,3.91,0.62,2.03,1.09,2.03,0.78,1.25,0.00,0.00,5.47,1.25,1.88,0.78,1.72,0.62,4.84,11.88,0.16,14.22,1.72,5.94,6.56,2.34,2.19,0.31,0.31,0.00,0.00,14.38,0.00,0.16,2.34,11.88,0.00,10.31,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,5.00,0.00,5.00
700,27.54,26.96,82.35,99.00,700.00,12.14,93.00,54.14,18.29,10.86,8.43,0.57,1.57,0.14,0.14,7.43,5.86,10.57,12.43,5.43,6.14,3.00,19.86,4.86,2.00,1.57,1.57,3.00,8.86,7.14,1.14,0.00,0.71,0.29,6.71,0.57,0.29,0.29,0.57,13.71,1.71,1.29,1.00,5.00,1.86,3.43,3.57,0.86,2.43,0.14,1.29,0.57,0.43,0.00,0.29,5.71,1.43,1.00,1.71,1.71,0.14,5.86,11.86,0.71,14.14,2.43,6.71,5.29,0.86,2.29,0.43,0.29,0.00,0.00,5.14,0.14,0.86,1.00,4.00,0.00,11.14,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.00,6.14,0.00,4.57
